policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,encoding,condition,snn_steps,hidden_dim
latency,1009,0.0,0,0.2,-1,250,1,40.00736884319424,1.2145247737011977,1.3196221971107913,5.552,latency,dropout_0.20,25,96
latency,1010,0.0,0,0.2,-1,252,1,40.096140062269455,1.1948907988449038,1.323574783281814,5.555555555555555,latency,dropout_0.20,25,96
latency,1011,0.0,0,0.2,-1,250,1,40.05000901799996,1.228382983120166,1.3106718974285039,5.492,latency,dropout_0.20,25,96
latency,1000,0.0,0,0.0,4,250,1,40.06200552362929,1.2557569035846552,1.3342175455756193,5.512,latency,dead_center,25,96
latency,1001,0.0,0,0.0,4,252,1,40.05012311978216,1.2679504567079423,1.33846390685748,5.515873015873016,latency,dead_center,25,96
latency,1002,0.0,0,0.0,4,251,1,40.12795486312396,1.261407043515963,1.3239748498215158,5.51792828685259,latency,dead_center,25,96
latency,1003,0.0,0,0.0,4,251,1,40.12944294817829,1.2576652376769113,1.32181033458056,5.51792828685259,latency,dead_center,25,96
latency,1004,0.0,0,0.0,4,250,1,40.0565400348977,1.2587401444894122,1.3165938060145974,5.5,latency,dead_center,25,96
latency,1005,0.0,0,0.0,4,252,1,40.13040656977943,1.2647567666489665,1.3319734535621222,5.523809523809524,latency,dead_center,25,96
latency,1006,0.0,0,0.0,4,251,1,40.15247171656842,1.2612958726606045,1.3289899270842283,5.52589641434263,latency,dead_center,25,96
latency,1007,0.0,0,0.0,4,250,1,40.11470339548439,1.253549585754145,1.320943976503391,5.5,latency,dead_center,25,96
latency,1008,0.0,0,0.0,4,251,1,40.00885451906357,1.2613983827854494,1.3438345649698273,5.50199203187251,latency,dead_center,25,96
latency,1009,0.0,0,0.0,4,249,1,40.01077143834874,1.2594284950642183,1.3193185469964683,5.51004016064257,latency,dead_center,25,96
latency,1010,0.0,0,0.0,4,250,1,40.029805702096084,1.2594621476490966,1.332590453968498,5.504,latency,dead_center,25,96
latency,1011,0.0,0,0.0,4,250,1,40.13622653897231,1.2602496695597196,1.318824213601876,5.512,latency,dead_center,25,96
population,1000,0.0,0,0.0,-1,57,0,9.287830482212819,1.1839988611093202,1.5996198854594363,6.684210526315789,population,noise_0.00,25,96
population,1001,0.0,0,0.0,-1,44,0,7.16084516160531,1.1999114771573849,1.5650580036781778,6.5,population,noise_0.00,25,96
population,1002,0.0,0,0.0,-1,16,0,2.509402839423702,0.8519800826565842,1.6261772984305574,6.4375,population,noise_0.00,25,96
population,1003,0.0,0,0.0,-1,16,0,2.7683887142956776,0.8917457584692674,1.5748861210465352,6.9375,population,noise_0.00,25,96
population,1004,0.0,0,0.0,-1,17,0,2.698129980036092,0.8359011488666064,1.640873391232039,6.235294117647059,population,noise_0.00,25,96
population,1005,0.0,0,0.0,-1,16,0,2.6269472681855737,0.7913644127736534,1.6012515477271747,7.125,population,noise_0.00,25,96
population,1006,0.0,0,0.0,-1,16,0,2.6877488760315233,0.8300985675805806,1.6784631046458438,6.1875,population,noise_0.00,25,96
population,1007,0.0,0,0.0,-1,20,0,3.4196395329070706,0.7189131232822608,1.5545870317521782,8.0,population,noise_0.00,25,96
population,1008,0.0,0,0.0,-1,96,0,15.504441072083479,1.2872536224247955,1.5659223966114033,6.458333333333333,population,noise_0.00,25,96
population,1009,0.0,0,0.0,-1,60,0,9.902628570035523,1.1758093964101504,1.5514362875055163,6.166666666666667,population,noise_0.00,25,96
population,1010,0.0,0,0.0,-1,83,0,13.416236302070542,1.2232421129057711,1.5914348805058032,6.530120481927711,population,noise_0.00,25,96
population,1011,0.0,0,0.0,-1,31,0,5.20251640232545,1.0709411546202277,1.596287620237027,6.612903225806452,population,noise_0.00,25,96
population,1000,0.04,0,0.0,-1,19,0,3.044069314349588,0.697586462377361,1.5921670948603976,9.421052631578947,population,noise_0.04,25,96
population,1001,0.04,0,0.0,-1,17,0,2.9165228969300805,0.8098424713100758,1.5579062044133511,6.9411764705882355,population,noise_0.04,25,96
population,1002,0.04,0,0.0,-1,31,0,5.095861890048232,0.8243898516696808,1.554061675089261,9.483870967741936,population,noise_0.04,25,96
population,1003,0.04,0,0.0,-1,18,0,3.1208687719995614,0.9144826015549017,1.5701270538726197,6.388888888888889,population,noise_0.04,25,96
population,1004,0.04,0,0.0,-1,49,0,8.005310360036994,1.0275631059760486,1.5500916258602175,8.326530612244898,population,noise_0.04,25,96
population,1005,0.04,0,0.0,-1,18,0,3.0998675438085437,0.8906821351119978,1.5513879626388412,6.388888888888889,population,noise_0.04,25,96
population,1006,0.04,0,0.0,-1,17,0,2.9544119204298553,0.7788328121850225,1.5509918815874792,7.588235294117647,population,noise_0.04,25,96
population,1007,0.04,0,0.0,-1,56,0,9.154897017216099,1.2320530766627482,1.5673962399008776,6.321428571428571,population,noise_0.04,25,96
population,1008,0.04,0,0.0,-1,18,0,3.044839155952547,0.8341367928816236,1.6397211603694843,6.944444444444445,population,noise_0.04,25,96
population,1009,0.04,0,0.0,-1,17,0,2.9588147655375048,0.8891972612442924,1.5820557992966529,6.470588235294118,population,noise_0.04,25,96
population,1010,0.04,0,0.0,-1,19,0,3.3559477197470984,0.904794216330127,1.5855428771427635,7.368421052631579,population,noise_0.04,25,96
population,1011,0.04,0,0.0,-1,15,0,2.4550152305971737,0.8690129450702119,1.6267003564789904,6.666666666666667,population,noise_0.04,25,96
population,1000,0.08,0,0.0,-1,24,0,3.9547770571179126,0.6509881228625087,1.5886026986834176,9.875,population,noise_0.08,25,96
population,1001,0.08,0,0.0,-1,109,0,17.2520635916402,1.2172748354746799,1.581196941506363,5.724770642201835,population,noise_0.08,25,96
population,1002,0.08,0,0.0,-1,26,0,3.837185306779809,0.5857467658086717,1.6717014955964205,10.615384615384615,population,noise_0.08,25,96
